# WaterOS AI 代码标注清单
# 格式：序号<TAB>路径<TAB>行范围
# 生成方式：扫描源码中「由AI完成」标记，并解析对应代码块行范围
# 路径均以项目根目录为基准（os/ 开头）
1	os/components/wateros-abi/abi-impl/impl-dummy/src/lib.rs	1-22
2	os/components/wateros-abi/abi-impl/impl-dummy/src/lib.rs	10
3	os/components/wateros-abi/abi-impl/impl-dummy/src/lib.rs	18-21
4	os/components/wateros-abi/abi-impl/impl-linux-generic64/src/lib.rs	13
5	os/components/wateros-abi/abi-impl/impl-linux-generic64/src/lib.rs	208-383
6	os/components/wateros-abi/abi-impl/impl-linux-generic64/src/lib.rs	210-373
7	os/components/wateros-driver/driver-block/block-impl/impl-block-cache/src/manager.rs	1-44
8	os/components/wateros-driver/driver-block/block-impl/impl-block-cache/src/manager.rs	16
9	os/components/wateros-driver/driver-block/block-impl/impl-dummy/src/lib.rs	1-21
10	os/components/wateros-driver/driver-character/character-impl/impl-dummy/src/lib.rs	1-18
11	os/components/wateros-driver/driver-character/character-impl/impl-null-stub/src/lib.rs	1-40
12	os/components/wateros-driver/driver-character/character-impl/impl-null-stub/src/lib.rs	19
13	os/components/wateros-driver/driver-character/character-impl/impl-rtc-stub/src/lib.rs	1-56
14	os/components/wateros-driver/driver-character/character-impl/impl-rtc-stub/src/lib.rs	34
15	os/components/wateros-driver/driver-impl/impl-dummy/src/lib.rs	1-18
16	os/components/wateros-driver/driver-network/network-impl/impl-dummy/src/lib.rs	1-51
17	os/components/wateros-driver/driver-network/network-impl/impl-dummy/src/lib.rs	16-18
18	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	1-322
19	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	23-32
20	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	36
21	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	39-44
22	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	48-51
23	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	55-64
24	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	68-77
25	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	81-152
26	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	155-157
27	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	160-162
28	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	165-185
29	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	188-196
30	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	199-219
31	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	222-230
32	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	233-245
33	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	250-254
34	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	258-261
35	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	266-269
36	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	274-277
37	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	282-285
38	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	290-293
39	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	297
40	os/components/wateros-fs/fs-devfs/devfs-impl/impl-kernel/src/lib.rs	301
